candidate_id,dataset,model,policy_type,t_low,t_high,fn_cost,fp_cost,review_cost,review_error_rate_FN,review_error_rate_FP,manual_review_count,manual_review_rate,auto_decision_rate,auto_FP,auto_FN,auto_TP,auto_TN,manual_review_defaults,manual_review_nondefaults,automation_residual_cost,review_adjusted_cost,review_adjusted_cost_imperfect,binary_reference_cost,is_comparable_to_binary_cost,cost_definition,interpretation_note,source_constraint_name,n_rows,total_defaults,total_nondefaults
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,,,,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,,,3144.0,False,A_automation_only_residual,Automation-only residual cost excludes manual-review workload and is not directly comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.1,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2336.1,,3144.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.1,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2336.1,2336.1,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.1,0.05,0.05,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2336.1,2440.45,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.1,0.1,0.1,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2336.1,2544.7999999999997,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.25,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2514.75,,3144.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.25,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2514.75,2514.75,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.25,0.05,0.05,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2514.75,2619.1,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.25,0.1,0.1,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2514.75,2723.45,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.5,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2812.5,,3144.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.5,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2812.5,2812.5,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.5,0.05,0.05,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2812.5,2916.85,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,0.5,0.1,0.1,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,2812.5,3021.2,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,1.0,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,3408.0,,3144.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,1.0,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,3408.0,3408.0,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,1.0,0.05,0.05,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,3408.0,3512.35,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,1.0,0.1,0.1,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,3408.0,3616.7,3144.0,True,C_review_imperfect_resolution,Review workload is monetized and manual-review decisions may still have FN/FP errors according to review_error_rate parameters.,A_manual_review_rate_0_20,6000,1327,4673
taiwan__cand_0262,taiwan,Best CatBoost,manual_review_band,0.14,0.19,5.0,1.0,2.0,0.0,0.0,1191,0.1985,0.8015,1127,218,885,2579,224,967,2217.0,4599.0,,3144.0,True,B_review_workload_cost_included,Review workload is monetized and manual-review decisions are assumed correct; this is more comparable to binary expected cost.,A_manual_review_rate_0_20,6000,1327,4673
