dataset,split,system,score_key,policy_type,threshold,t_low,t_high,capacity_pct,source,fn_cost,fp_cost,review_cost,expected_cost_binary,review_adjusted_cost,comparable_cost_for_rank,manual_review_count,manual_review_rate,high_risk_fp,high_risk_tp,low_risk_fn,manual_review_defaults,total_defaults,cost_rank,threshold_probability,net_benefit,net_benefit_treat_all,net_benefit_treat_none,better_than_treat_all,better_than_treat_none,useful_threshold_range,max_net_benefit,comment,test_set_used_for_selection,mean_cost_rank,cost_stability_rank
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,2,1,0.1,1125,455.0,455.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,2,1,0.25,1125,542.0,542.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,2,1,0.5,1125,687.0,687.0,580,0.2938196555217832,369,865,14,148,1027,2.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,2,1,1.0,1125,977.0,977.0,580,0.2938196555217832,369,865,14,148,1027,5.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,2,1,2.0,1125,1557.0,1557.0,580,0.2938196555217832,369,865,14,148,1027,5.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,3,1,0.1,1287,469.0,469.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,3,1,0.25,1287,556.0,556.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,3,1,0.5,1287,701.0,701.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,3,1,1.0,1287,991.0,991.0,580,0.2938196555217832,369,865,14,148,1027,2.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,3,1,2.0,1287,1571.0,1571.0,580,0.2938196555217832,369,865,14,148,1027,5.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,5,1,0.1,1611,497.0,497.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,5,1,0.25,1611,584.0,584.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,5,1,0.5,1611,729.0,729.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,5,1,1.0,1611,1019.0,1019.0,580,0.2938196555217832,369,865,14,148,1027,1.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
heloc,validation,V2 HELOC Scorecard manual-review,scorecard_sigmoid,manual_review_band,,0.16,0.39,,V2 locked policy,5,1,2.0,1611,1599.0,1599.0,580,0.2938196555217832,369,865,14,148,1027,5.0,,,,,,,,,Manual-review cost changes with review_cost; binary cost is diagnostic only.,False,1.65,1.0
